Name,Type,Location,Conference,Division,URL
Ramapo College of New Jersey,Public,"Mahwah, New Jersey",New Jersey Athletic Conference,NCAA D3,https://www.ramapo.edu/
Randolph College,Private,"Lynchburg, Virginia",Old Dominion Athletic Conf.,NCAA D3,https://www.randolphcollege.edu/
Randolph-Macon College,Private,"Ashland, Virginia",Old Dominion Athletic Conf.,NCAA D3,https://www.rmc.edu/
Regis College,Private,"Weston, Massachusetts",Great Northeast Athletic Conference,NCAA D3,https://www.regiscollege.edu/
Rensselaer Polytechnic Institute – RPI,Private,"Troy, New York",Liberty League,NCAA D3,https://www.rpi.edu/
Rhode Island College,Public,"Providence, Rhode Island",Little East Conference,NCAA D3,https://www.ric.edu/
Rhodes College,Private,"Memphis, Tennessee",Southern Athletic Association,NCAA D3,https://www.rhodes.edu/
Ripon College,Private,"Ripon, Wisconsin",Midwest Conference,NCAA D3,https://ripon.edu/
Rivier University,Private,"Nashua, New Hampshire",Great Northeast Athletic Conference,NCAA D3,https://www.rivier.edu
Roanoke College,Private,"Salem, Virginia",Old Dominion Athletic Conf.,NCAA D3,https://www.roanoke.edu/
Rochester Institute of Technology,Private,"Rochester, New York",Liberty League,NCAA D3,https://www.rit.edu/
Rockford University,Private,"Rockford, Illinois",Northern Athletics Collegiate Conference,NCAA D3,https://www.rockford.edu/
Roger Williams University,Private,"Bristol, Rhode Island",Conference of New England,NCAA D3,https://www.rwu.edu/
Rose-Hulman Institute of Technology,Private,"Terre Haute, Indiana",Heartland Collegiate Athletic Conference,NCAA D3,https://www.rose-hulman.edu/
Rosemont College,Private,"Rosemont, Pennsylvania",United East Conference,NCAA D3,https://rosemont.edu/
Rowan University,Public,"Glassboro, New Jersey",New Jersey Athletic Conference,NCAA D3,https://www.rowan.edu/
Russell Sage College,Private,"Troy, New York",Empire 8,NCAA D3,https://www.sage.edu/
Rutgers University – Camden,Public,"Camden, New Jersey",New Jersey Athletic Conference,NCAA D3,https://camden.rutgers.edu/
Rutgers University – Newark,Public,"Newark, New Jersey",New Jersey Athletic Conference,NCAA D3,https://admissions.rutgers.edu/
Saint Elizabeth University,Private,"Morristown, New Jersey",United East Conference,NCAA D3,https://www.steu.edu/
Saint John's University – Minnesota,Private,"Collegeville, Minnesota",Minnesota Intercollegiate Athletic Conference,NCAA D3,https://www.csbsju.edu
Saint Joseph's College of Maine,Private,"Standish, Maine",Great Northeast Athletic Conference,NCAA D3,https://www.sjcme.edu/
Saint Mary's College – Indiana,Private,"Notre Dame, Indiana",Michigan Intercol. Ath. Assn.,NCAA D3,https://www.saintmarys.edu/
Saint Mary's University of Minnesota,Private,"Winona, Minnesota",Minnesota Intercollegiate Athletic Conference,NCAA D3,https://smumn.edu/
Saint Vincent College – Pennsylvania,Private,"Latrobe, Pennsylvania",Presidents' Athletic Conference,NCAA D3,https://www.stvincent.edu/
Salem College,Private,"Winston Salem, North Carolina",USA South Athletic Conference,NCAA D3,https://www.salem.edu/
Salem State University,Public,"Salem, Massachusetts",Massachusetts State Collegiate Athletic Conference,NCAA D3,https://www.salemstate.edu/
Salisbury University,Public,"Salisbury, Maryland",Coast-To-Coast Athletic Conference,NCAA D3,https://www.salisbury.edu/
Salve Regina University,Private,"Newport, Rhode Island",New England Women's and Men's Athletic Conference,NCAA D3,https://salve.edu
Sarah Lawrence College,Private,"Bronxville, New York",Skyline Conference,NCAA D3,https://www.sarahlawrence.edu/
Schreiner University,Private,"Kerrville, Texas",Southern Collegiate Athletic Conference,NCAA D3,https://schreiner.edu/
Sewanee – The University of the South,Private,"Sewanee, Tennessee",Southern Athletic Association,NCAA D3,https://new.sewanee.edu/
Shenandoah University,Private,"Winchester, Virginia",Old Dominion Athletic Conf.,NCAA D3,https://www.su.edu/
Simmons University,Private,"Boston, Massachusetts",Great Northeast Athletic Conference,NCAA D3,https://www.simmons.edu/
Simpson College,Private,"Indianola, Iowa",American Rivers Conference,NCAA D3,https://simpson.edu/
Skidmore College,Private,"Saratoga Springs, New York",Liberty League,NCAA D3,https://www.skidmore.edu/
Smith College,Private,"Northampton, Massachusetts",New England Women's and Men's Athletic Conference,NCAA D3,https://www.smith.edu/
Southern Virginia University,Private,"Buena Vista, Virginia",USA South Athletic Conference,NCAA D3,https://svu.edu/
Southwestern University,Private,"Georgetown, Texas",Southern Collegiate Athletic Conference,NCAA D3,https://www.southwestern.edu/
Spalding University,Private,"Louisville, Kentucky",St. Louis Intercollegiate Athletic Conference,NCAA D3,https://spalding.edu/
Springfield College,Private,"Springfield, Massachusetts",New England Women's and Men's Athletic Conference,NCAA D3,https://springfield.edu/
St. Catherine University,Private,"Saint Paul, Minnesota",Minnesota Intercollegiate Athletic Conference,NCAA D3,https://www.stkate.edu/
St. John Fisher College,Private,"Rochester, New York",Empire 8,NCAA D3,https://www.sjf.edu/
St. Joseph's University – New York,Private,"Brooklyn, New York",Skyline Conference,NCAA D3,https://www.sjny.edu/long-island
"St. Joseph's University, New York L.I.",Private,"Patchogue, New York",Skyline Conference,NCAA D3,https://www.sjny.edu/long-island
St. Lawrence University,Private,"Canton, New York",Liberty League,NCAA D3,https://www.stlawu.edu/
St. Mary's College of Maryland,Public,"St. Mary's City, Maryland",United East Conference,NCAA D3,https://www.smcm.edu/
St. Norbert College,Private,"De Pere, Wisconsin",Northern Athletics Collegiate Conference,NCAA D3,https://www.snc.edu/
St. Olaf College,Private,"Northfield, Minnesota",Minnesota Intercollegiate Athletic Conference,NCAA D3,https://wp.stolaf.edu/
Stevens Institute of Technology,Private,"Hoboken, New Jersey",Middle Atlantic Conferences,NCAA D3,https://www.stevens.edu/
Stevenson University,Private,"Stevenson, Maryland",Middle Atlantic Conferences,NCAA D3,https://www.stevenson.edu/
Stockton University,Public,"Galloway, New Jersey",New Jersey Athletic Conference,NCAA D3,https://www.stockton.edu/
Suffolk University,Private,"Boston, Massachusetts",Conference of New England,NCAA D3,https://www.suffolk.edu/
Sul Ross State University,Public,"Alpine, Texas",Lone Star Conference,NCAA D3,https://www.sulross.edu/
SUNY Canton,Public,"Canton, New York",State University of New York Athletic Conference,NCAA D3,https://www.canton.edu/
SUNY College at Brockport,Public,"Brockport, New York",Empire 7,NCAA D3,https://www.brockport.edu/
SUNY College at Old Westbury,Public,"Old Westbury, New York",Skyline Conference,NCAA D3,https://www.oldwestbury.edu/
SUNY College at Oneonta,Public,"Oneonta, New York",State University of New York Athletic Conference,NCAA D3,https://suny.oneonta.edu/
SUNY College of Agriculture & Technology at Cobleskill,Public,"Cobleskill, New York",North Atlantic Conference,NCAA D3,https://www.cobleskill.edu/
SUNY Cortland,Public,"Cortland, New York",State University of New York Athletic Conference,NCAA D3,https://www2.cortland.edu/home/
SUNY Delhi,Public,"Delhi, New York",North Atlantic Conference,NCAA D3,https://www.delhi.edu/
SUNY Fredonia,Public,"Fredonia, New York",State University of New York Athletic Conference,NCAA D3,https://www.fredonia.edu/
SUNY Geneseo,Public,"Geneseo, New York",Empire 8,NCAA D3,https://www.geneseo.edu/
SUNY Maritime College,Public,"Throggs Neck, New York",Skyline Conference,NCAA D3,https://www.sunymaritime.edu/
SUNY Morrisville,Public,"Morrisville, New York",State University of New York Athletic Conference,NCAA D3,https://www.morrisville.edu/
SUNY New Paltz,Public,"New Paltz, New York",State University of New York Athletic Conference,NCAA D3,https://www.newpaltz.edu/
SUNY Oswego,Public,"Oswego, New York",State University of New York Athletic Conference,NCAA D3,https://ww1.oswego.edu
SUNY Plattsburgh,Public,"Plattsburgh, New York",State University of New York Athletic Conference,NCAA D3,https://www.plattsburgh.edu/
SUNY Polytechnic Institute,Public,"Utica, New York",Empire 8,NCAA D3,https://sunypoly.edu/
SUNY Potsdam,Public,"Potsdam, New York",State University of New York Athletic Conference,NCAA D3,https://www.potsdam.edu/
SUNY Purchase College,Public,"Purchase, New York",Skyline Conference,NCAA D3,https://www.purchase.edu/
Susquehanna University,Private,"Selinsgrove, Pennsylvania",Landmark Conference,NCAA D3,https://www.susqu.edu/
Swarthmore College,Private,"Swarthmore, Pennsylvania",Centennial Conference,NCAA D3,https://www.swarthmore.edu/
Sweet Briar College,Private,"Sweet Briar, Virginia",Old Dominion Athletic Conf.,NCAA D3,https://www.sbc.edu/
Texas Lutheran University,Private,"Seguin, Texas",Southern Collegiate Athletic Conference,NCAA D3,https://www.tlu.edu/
The College of New Jersey,Public,"Ewing, New Jersey",New Jersey Athletic Conference,NCAA D3,https://tcnj.edu/
The College of St. Scholastica,Private,"Duluth, Minnesota",Minnesota Intercollegiate Athletic Conference,NCAA D3,https://www.css.edu/
Thiel College,Private,"Greenville, Pennsylvania",Presidents' Athletic Conference,NCAA D3,https://www.thiel.edu/
Thomas College,Private,"Waterville, Maine",North Atlantic Conference,NCAA D3,https://www.thomas.edu/
Transylvania University,Private,"Lexington, Kentucky",Heartland Collegiate Athletic Conference,NCAA D3,https://www.transy.edu/
Trine University,Private,"Angola, Indiana",Michigan Intercol. Ath. Assn.,NCAA D3,https://www.trine.edu/
Trinity College – Connecticut,Private,"Hartford, Connecticut",New England Small College Athletic Conference,NCAA D3,https://www.trincoll.edu/
Trinity University – Texas,Private,"San Antonio, Texas",Southern Collegiate Athletic Conference,NCAA D3,https://www.trinity.edu
Trinity Washington University,Private,"Washington, District Of Columbia",Division 3 Independents,NCAA D3,https://discover.trinitydc.edu/
Tufts University,Private,"Medford, Massachusetts",New England Small College Athletic Conference,NCAA D3,https://www.tufts.edu/
Union College – New York,Private,"Schenectady, New York",Liberty League,NCAA D3,https://www.union.edu/
United States Coast Guard Academy,Public,"New London, Connecticut",New England Women's and Men's Athletic Conference,NCAA D3,https://uscga.edu/
United States Merchant Marine Academy,Public,"Kings Point, New York",Skyline Conference,NCAA D3,https://www.usmma.edu/
University of California – Santa Cruz,Public,"Santa Cruz, California",Coast-To-Coast Athletic Conference,NCAA D3,https://www.ucsc.edu/
University of Chicago,Private,"Chicago, Illinois",University Athletic Association,NCAA D3,https://www.uchicago.edu/
University of Dallas,Private,"Irving, Texas",Southern Collegiate Athletic Conference,NCAA D3,https://udallas.edu/
University of Dubuque,Private,"Dubuque, Iowa",American Rivers Conference,NCAA D3,https://www.dbq.edu/
University of Hartford,Private,"West Hartford, Connecticut",Conference of New England,NCAA D3,https://www.hartford.edu/
University of La Verne,Private,"La Verne, California",Southern California Intercollegiate Athletic Conf.,NCAA D3,https://laverne.edu/
University of Lynchburg,Private,"Lynchburg, Virginia",Old Dominion Athletic Conf.,NCAA D3,https://www.lynchburg.edu/
University of Maine at Farmington,Public,"Farmington, Maine",North Atlantic Conference,NCAA D3,https://www.umf.maine.edu/
University of Maine at Presque Isle,Public,"Presque Isle, Maine",North Atlantic Conference,NCAA D3,https://www.umpi.edu/
University of Mary Hardin-Baylor,Private,"Belton, Texas",American Southwest Conference,NCAA D3,https://www.umhb.edu/
University of Mary Washington,Public,"Fredericksburg, Virginia",Coast-To-Coast Athletic Conference,NCAA D3,https://www.umw.edu/
University of Massachusetts – Boston,Public,"Boston, Massachusetts",Little East Conference,NCAA D3,https://www.umb.edu/
University of Massachusetts – Dartmouth,Public,"Dartmouth, Massachusetts",Little East Conference,NCAA D3,https://www.umassd.edu/
University of Minnesota – Morris,Public,"Morris, Minnesota",Upper Midwest Athletic Conference,NCAA D3,https://morris.umn.edu/
University of Mount Saint Vincent,Private,"Bronx, New York",Skyline Conference,NCAA D3,https://mountsaintvincent.edu/
University of Mount Union,Private,"Alliance, Ohio",Ohio Athletic Conference,NCAA D3,https://www.mountunion.edu/
University of New England,Private,"Biddeford, Maine",Conference of New England,NCAA D3,https://www.une.edu/
University of Northwestern – St. Paul,Private,"Saint Paul, Minnesota",Upper Midwest Athletic Conference,NCAA D3,https://www.unwsp.edu/
University of Olivet,Private,"Olivet, Michigan",Michigan Intercol. Ath. Assn.,NCAA D3,https://www.uolivet.edu
University of Pittsburgh – Bradford,Public,"Bradford, Pennsylvania",Allegheny Mountain Collegiate Conference,NCAA D3,https://www.upb.pitt.edu/
University of Pittsburgh – Greensburg,Public,"Greensburg, Pennsylvania",Allegheny Mountain Collegiate Conference,NCAA D3,https://www.greensburg.pitt.edu/admissions
University of Puget Sound,Private,"Tacoma, Washington",Northwest Conference,NCAA D3,https://www.pugetsound.edu/
University of Redlands,Private,"Redlands, California",Southern California Intercollegiate Athletic Conf.,NCAA D3,https://www.redlands.edu/
University of Rochester,Private,"Rochester, New York",University Athletic Association,NCAA D3,https://www.rochester.edu/
University of Saint Joseph,Private,"West Hartford, Connecticut",Great Northeast Athletic Conference,NCAA D3,https://www.usj.edu/
University of Scranton,Private,"Scranton, Pennsylvania",Landmark Conference,NCAA D3,https://www.scranton.edu/
University of Southern Maine,Public,"Portland, Maine",Little East Conference,NCAA D3,https://usm.maine.edu/
University of St. Thomas – Texas,Private,"Houston, Texas",Southern Collegiate Athletic Conference,NCAA D3,https://www.stthom.edu/Home/Index.aqf
University of Texas at Dallas,Public,"Richardson, Texas",Lone Star Conference,NCAA D3,https://www.utdallas.edu/
University of the Ozarks,Private,"Clarksville, Arkansas",Southern Collegiate Athletic Conference,NCAA D3,https://ozarks.edu/
University of Valley Forge,Private,"Phoenixville, Pennsylvania",United East Conference,NCAA D3,https://valleyforge.edu/
University of Wisconsin – Eau Claire,Public,"Eau Claire, Wisconsin",Wisconsin Intercollegiate Athletic Conference,NCAA D3,https://www.uwec.edu/
University of Wisconsin – La Crosse,Public,"La Crosse, Wisconsin",Wisconsin Intercollegiate Athletic Conference,NCAA D3,https://www.uwlax.edu/
University of Wisconsin – Oshkosh,Public,"Oshkosh, Wisconsin",Wisconsin Intercollegiate Athletic Conference,NCAA D3,https://www.uwosh.edu/
University of Wisconsin – Platteville,Public,"Platteville, Wisconsin",Wisconsin Intercollegiate Athletic Conference,NCAA D3,https://www.uwplatt.edu/
University of Wisconsin – River Falls,Public,"River Falls, Wisconsin",Wisconsin Intercollegiate Athletic Conference,NCAA D3,https://www.uwrf.edu/
University of Wisconsin – Stevens Point,Public,"Stevens Point, Wisconsin",Wisconsin Intercollegiate Athletic Conference,NCAA D3,https://www.uwsp.edu/
University of Wisconsin – Stout,Public,"Menomonie, Wisconsin",Wisconsin Intercollegiate Athletic Conference,NCAA D3,https://www.uwstout.edu/
University of Wisconsin – Superior,Public,"Superior, Wisconsin",Upper Midwest Athletic Conference,NCAA D3,https://www.uwsuper.edu/
University of Wisconsin – Whitewater,Public,"Whitewater, Wisconsin",Wisconsin Intercollegiate Athletic Conference,NCAA D3,https://www.uww.edu/
Ursinus College,Private,"Collegeville, Pennsylvania",Centennial Conference,NCAA D3,https://www.ursinus.edu/
Utica University,Private,"Utica, New York",Empire 8,NCAA D3,https://www.utica.edu/
Vassar College,Private,"Poughkeepsie, New York",Liberty League,NCAA D3,https://www.vassar.edu/
Vermont State University – Castleton,Public,"Castleton, Vermont",Little East Conference,NCAA D3,https://www.castleton.edu/
Vermont State University – Johnson,Public,"Johnson, Vermont",North Atlantic Conference,NCAA D3,https://vermontstate.edu/
Vermont State University – Lyndon,Public,"Lyndonville, Vermont",North Atlantic Conference,NCAA D3,https://vermontstate.edu/
Virginia Wesleyan University,Private,"Virginia Beach, Virginia",Old Dominion Athletic Conf.,NCAA D3,https://www.vwu.edu/
Wabash College,Private,"Crawfordsville, Indiana",North Coast Athletic Conference,NCAA D3,https://www.wabash.edu/
Warren Wilson College,Private,"Swannanoa, North Carolina",Coast-To-Coast Athletic Conference,NCAA D3,https://www.warren-wilson.edu/
Wartburg College,Private,"Waverly, Iowa",American Rivers Conference,NCAA D3,https://www.wartburg.edu/
Washington & Jefferson College,Private,"Washington, Pennsylvania",Presidents' Athletic Conference,NCAA D3,https://www.washjeff.edu/
Washington & Lee University,Private,"Lexington, Virginia",Old Dominion Athletic Conf.,NCAA D3,https://www.wlu.edu/
Washington College,Private,"Chestertown, Maryland",Centennial Conference,NCAA D3,https://www.washcoll.edu/
Washington University in St. Louis,Private,"Saint Louis, Missouri",University Athletic Association,NCAA D3,https://washu.edu/
Waynesburg University,Private,"Waynesburg, Pennsylvania",Presidents' Athletic Conference,NCAA D3,https://www.waynesburg.edu/
Webster University,Private,"Saint Louis, Missouri",St. Louis Intercollegiate Athletic Conference,NCAA D3,https://www.webster.edu/
Wellesley College,Private,"Wellesley, Massachusetts",New England Women's and Men's Athletic Conference,NCAA D3,https://www.wellesley.edu/
Wentworth Institute of Technology,Private,"Boston, Massachusetts",Conference of New England,NCAA D3,https://wit.edu/
Wesleyan College,Private,"Macon, Georgia",Collegiate Conference of the South,NCAA D3,https://www.wesleyancollege.edu/
Wesleyan University,Private,"Middletown, Connecticut",New England Small College Athletic Conference,NCAA D3,https://www.wesleyan.edu/
Western Connecticut State University,Public,"Danbury, Connecticut",Little East Conference,NCAA D3,https://www.wcsu.edu/
Western New England University,Private,"Springfield, Massachusetts",Conference of New England,NCAA D3,https://www.wne.edu
Westfield State University,Public,"Westfield, Massachusetts",Massachusetts State Collegiate Athletic Conference,NCAA D3,https://www.westfield.ma.edu
Westminster College – Missouri,Private,"Fulton, Missouri",St. Louis Intercollegiate Athletic Conference,NCAA D3,https://www.wcmo.edu/
Westminster College – Pennsylvania,Private,"New Wilmington, Pennsylvania",Presidents' Athletic Conference,NCAA D3,https://www.westminster.edu/
Wheaton College – Illinois,Private,"Wheaton, Illinois",College Conference of Illinois & Wisconsin,NCAA D3,https://www.wheaton.edu/
Wheaton College – Massachusetts,Private,"Norton, Massachusetts",New England Women's and Men's Athletic Conference,NCAA D3,https://wheatoncollege.edu/
Whitman College,Private,"Walla Walla, Washington",Northwest Conference,NCAA D3,https://www.whitman.edu/
Whittier College,Private,"Whittier, California",Southern California Intercollegiate Athletic Conf.,NCAA D3,https://www.whittier.edu/
Whitworth University,Private,"Spokane, Washington",Northwest Conference,NCAA D3,https://www.whitworth.edu/
Widener University,Private,"Chester, Pennsylvania",Middle Atlantic Conferences,NCAA D3,https://www.widener.edu/
Wilkes University,Private,"Wilkes Barre, Pennsylvania",Landmark Conference,NCAA D3,https://www.wilkes.edu/
Willamette University,Private,"Salem, Oregon",Northwest Conference,NCAA D3,https://willamette.edu/
William Paterson University of New Jersey,Public,"Wayne, New Jersey",New Jersey Athletic Conference,NCAA D3,https://www.wpunj.edu/
William Peace University,Private,"Raleigh, North Carolina",USA South Athletic Conference,NCAA D3,https://peace.edu/
Williams College,Private,"Williamstown, Massachusetts",New England Small College Athletic Conference,NCAA D3,https://www.williams.edu/
Wilmington College,Private,"Wilmington, Ohio",Ohio Athletic Conference,NCAA D3,https://www.wilmington.edu/
Wilson College,Private,"Chambersburg, Pennsylvania",United East Conference,NCAA D3,https://www.wilson.edu/
Wisconsin Lutheran College,Private,"Milwaukee, Wisconsin",Northern Athletics Collegiate Conference,NCAA D3,https://www.wlc.edu/
Wittenberg University,Private,"Springfield, Ohio",North Coast Athletic Conference,NCAA D3,https://www.wittenberg.edu/
Worcester Polytechnic Institute,Private,"Worcester, Massachusetts",New England Women's and Men's Athletic Conference,NCAA D3,https://www.wpi.edu/
Worcester State University,Public,"Worcester, Massachusetts",Massachusetts State Collegiate Athletic Conference,NCAA D3,https://www.worcester.edu/
Yeshiva University,Private,"New York, New York",Skyline Conference,NCAA D3,https://www.yu.edu/
York College of Pennsylvania,Private,"York, Pennsylvania",Middle Atlantic Conferences,NCAA D3,https://www.ycp.edu/
